metric,value_lr,value_bert,bert_minus_lr
high_priority_recall,0.8301886792452831,0.8867924528301887,0.05660377358490565
high_to_low_count,5.0,3.0,-2.0
high_to_low_rate_among_high,0.0471698113207547,0.02830188679245283,-0.01886792452830187
label_accuracy,0.6772046589018302,0.718801996672213,0.04159733777038277
label_macro_f1,0.5548845083692957,0.5838192156671576,0.02893470729786185
label_weighted_f1,0.6747584534601331,0.7096410164831041,0.03488256302297099
over_prioritisation_rate,0.1148086522462562,0.10316139767054909,-0.011647254575707103
priority_accuracy,0.7803660565723793,0.8069883527454242,0.0266222961730449
priority_macro_f1,0.7256457128665693,0.7559525476680359,0.030306834801466564
priority_weighted_f1,0.7807694815511533,0.8077715586228625,0.027002077071709207
severe_priority_error_rate,0.0632279534109817,0.03494176372712146,-0.028286189683860236
under_prioritisation_rate,0.1048252911813644,0.08985024958402663,-0.014975041597337771
