,precision,recall,f1-score,support
injured_or_dead_people,0.921875,0.855072463768116,0.8872180451127819,69.0
missing_trapped_or_found_people,0.6458333333333334,0.8378378378378378,0.7294117647058823,37.0
displaced_people_and_evacuations,0.3333333333333333,0.5294117647058824,0.4090909090909091,17.0
infrastructure_and_utilities_damage,0.6153846153846154,0.6153846153846154,0.6153846153846154,26.0
caution_and_advice,0.0,0.0,0.0,7.0
donation_needs_or_offers_or_volunteering_services,0.7978723404255319,0.8426966292134831,0.819672131147541,178.0
other_useful_information,0.5660377358490566,0.46875,0.5128205128205128,128.0
sympathy_and_emotional_support,0.8103448275862069,0.9038461538461539,0.8545454545454545,104.0
not_related_or_irrelevant,0.5,0.37142857142857144,0.4262295081967213,35.0
accuracy,0.718801996672213,0.718801996672213,0.718801996672213,0.718801996672213
macro avg,0.5767423539902308,0.60271422624274,0.5838192156671576,601.0
weighted avg,0.7078566453467378,0.718801996672213,0.7096410164831041,601.0
