message_id,creation_time,source,destination,size,true_priority,predicted_priority,tweet_id
HM1,44,21,66,144841,4,4,592645001957408769
HM2,89,53,67,349403,3,2,592158813391720448
HM3,142,57,75,309675,1,1,592742935910850562
HM4,201,25,61,158799,3,2,592312120894627840
HM5,232,14,67,134611,3,3,593148336435236864
HM6,266,15,61,420844,3,3,592931363667345408
HM7,321,15,75,132990,3,2,592700281210720257
HM8,380,1,67,188404,1,1,593797959692754945
HM9,417,34,60,411603,4,4,592863475426316289
HM10,456,17,74,290273,4,4,592251563558752258
HM11,512,37,79,238913,1,1,591989267968167936
HM12,555,46,66,196112,3,3,593110945095929856
HM13,593,17,64,276041,4,4,593106744517099520
HM14,648,1,73,405435,3,2,592897910574055424
HM15,685,34,69,181071,3,3,593830138816679936
HM16,727,9,60,200456,1,1,592883809391083520
HM17,776,37,78,201027,1,1,592700771273187328
HM18,823,18,62,204873,3,3,592910523353669632
HM19,855,51,65,140398,1,1,592751611631513601
HM20,885,31,67,104870,3,3,592378631738949632
HM21,941,40,64,451644,3,4,592645260880281600
HM22,994,21,71,459935,4,4,592121096326881280
HM23,1049,24,79,214313,1,1,592171131743776768
HM24,1095,52,74,113438,4,4,592251762196750336
HM25,1150,34,78,262550,3,3,593807504548704256
HM26,1190,12,69,225834,2,2,592681522446147586
HM27,1234,6,70,481973,4,4,592666339547938818
HM28,1288,33,67,358803,3,3,593798264304041984
HM29,1321,49,61,180437,3,3,593305362746322944
HM30,1360,46,73,232834,3,3,593317620113276929
HM31,1393,3,72,101950,3,3,592763161259986945
HM32,1437,55,60,338883,1,1,592756339530702849
HM33,1497,42,65,220232,2,2,593082426298994689
HM34,1531,52,60,245826,4,3,592174200460341249
HM35,1572,59,64,403530,4,4,592184148975980544
HM36,1614,8,74,451981,3,3,592810687715500032
HM37,1672,2,78,387677,3,2,592332699869806592
HM38,1708,47,74,163591,4,4,592344826143604736
HM39,1753,58,72,433973,1,1,592313801447452672
HM40,1791,40,78,107364,2,2,593463828576342019
HM41,1821,51,68,160254,3,3,593604958769061888
HM42,1874,25,68,139880,3,3,591905667750866944
HM43,1905,53,61,254741,1,1,592140023211819008
HM44,1943,1,69,309597,3,3,592342994562490368
HM45,1988,5,67,224554,2,3,592667138768379904
HM46,2033,10,70,336908,3,3,592902025991561216
HM47,2066,17,77,484144,4,4,592339843537047552
HM48,2126,44,62,433561,4,4,593691981345202176
HM49,2179,18,66,278903,4,4,593342081453707265
HM50,2238,5,63,481860,3,3,592640033875632128
HM51,2270,55,66,331138,2,1,592244109898850305
HM52,2322,18,66,260522,3,4,593640712068968448
HM53,2361,55,72,168101,3,3,592344928111329280
HM54,2407,15,73,429478,3,3,592696711799250944
HM55,2465,41,65,118608,4,4,592652666901168128
HM56,2503,44,65,262068,3,3,593302157639585792
HM57,2555,37,71,453848,3,3,592342796939304961
HM58,2589,21,75,248263,4,3,592272935815127041
HM59,2628,38,75,332124,2,2,592320522660106240
HM60,2688,5,67,153077,4,4,592344667942825984
HM61,2731,21,65,399562,3,3,592340548482048000
HM62,2776,22,64,447462,3,3,592346761919889408
HM63,2815,51,69,113829,4,2,593460334532374528
HM64,2848,19,71,234443,3,3,593805450937696256
HM65,2891,10,71,457855,3,3,593435492768583682
HM66,2940,43,77,358677,3,3,592945195605467136
HM67,2984,28,67,300291,3,3,592343803979124737
HM68,3038,19,69,306866,3,3,592612974302367744
HM69,3079,50,64,102691,1,1,592173693167480832
HM70,3128,41,68,498736,3,4,592334866823294977
HM71,3181,18,62,259973,3,3,593032908702621696
HM72,3239,32,69,202253,3,3,592972521894387713
HM73,3282,57,71,354985,3,3,593097742978789376
HM74,3313,53,61,320600,2,2,593152820607643649
HM75,3365,49,78,181368,3,3,592343900179730432
HM76,3411,44,60,415853,3,3,597666520702025728
HM77,3468,37,60,249931,4,4,592349417115553792
HM78,3512,24,61,176432,2,2,593688748820471808
HM79,3553,10,77,444715,3,3,591989932438073344
HM80,3584,29,75,429270,1,1,592648766169026561
HM81,3628,25,79,476406,4,4,592312284975792130
HM82,3677,28,72,323268,1,1,592332945320382464
HM83,3730,11,70,310200,4,3,593444013878874114
HM84,3786,52,67,141407,2,2,592326613578067969
HM85,3822,10,79,392978,1,1,592781004038889472
HM86,3870,8,72,487223,1,1,591933335158403072
HM87,3924,21,74,286407,1,1,593070854377906177
HM88,3962,25,68,264741,3,3,592869879092482050
HM89,4002,7,70,223736,3,3,593301158950805504
HM90,4058,32,76,290162,1,1,592087968031969280
HM91,4106,14,69,147651,3,3,592141073071349760
HM92,4151,26,73,413785,3,3,592337847937544192
HM93,4201,7,69,329818,4,4,592390506690150403
HM94,4246,35,75,485855,3,3,592894785955966976
HM95,4306,39,73,171512,2,3,592601585475145728
HM96,4359,29,72,198215,3,3,591939569093713920
HM97,4390,13,64,175307,3,3,592293901278572544
HM98,4424,24,65,154466,3,3,592324159067197440
HM99,4470,51,74,355131,3,3,593331668200476672
HM100,4525,41,64,397893,1,1,592277759575105536
HM101,4557,3,69,326839,1,1,592087835450220544
HM102,4608,19,69,370815,3,2,592950352883916800
HM103,4661,37,73,112234,4,4,591973820002476032
HM104,4715,36,61,278608,3,3,592339203234619392
HM105,4772,1,78,145142,2,1,592691422144417792
HM106,4807,43,68,359043,3,2,592321947624550400
HM107,4854,4,64,246277,1,1,592287855327612928
HM108,4908,7,74,477660,3,3,593101875710275584
HM109,4949,40,68,231313,3,3,592141687754883072
HM110,4984,19,62,436765,4,4,592344160969084928
HM111,5028,40,65,382298,1,1,593201567072911360
HM112,5060,56,69,327288,4,4,593351139644428288
HM113,5096,19,61,299191,3,3,592700205948100608
HM114,5152,57,70,463451,1,1,592331630808735744
HM115,5202,35,72,347235,3,2,592891741746921472
HM116,5258,59,66,465165,4,4,592344582983057408
HM117,5314,47,72,366708,1,2,592749758839713792
HM118,5371,2,72,408463,1,1,592342908335820800
HM119,5410,20,79,402039,4,4,593198868206133250
HM120,5454,49,71,147424,3,3,592294974500241410
HM121,5503,46,72,184228,3,3,592344371762106368
HM122,5541,56,72,324684,3,3,593459468429492224
HM123,5599,50,67,303886,4,4,591915487350493184
HM124,5629,54,61,342907,3,3,592632615288573953
HM125,5684,0,78,321313,4,3,593745459874631680
HM126,5734,42,68,451734,3,1,592326564110585856
HM127,5771,14,60,211566,3,3,592735113785581568
HM128,5823,40,63,306492,3,3,592273906817458176
HM129,5865,48,66,440131,3,3,593359092892176384
HM130,5920,43,73,345036,3,3,593831023286288386
HM131,5980,52,75,384855,2,2,592903934806720512
HM132,6018,34,76,386066,3,3,592377791410089984
HM133,6062,26,63,274687,4,4,592684006644260864
HM134,6098,47,70,133548,3,3,592690177681825794
HM135,6149,13,67,360885,4,3,592186519441383425
HM136,6198,30,64,122537,1,1,599933903894355969
HM137,6254,58,76,246783,1,1,592194508181245952
HM138,6308,13,73,112159,3,3,592353726817443841
HM139,6368,41,66,290760,3,3,592312447643602945
HM140,6427,5,61,142734,1,1,593701932021194752
HM141,6484,59,64,448280,3,2,592908506182918146
HM142,6518,54,69,202193,4,4,593271874689175552
HM143,6549,33,77,498367,4,4,592183258282098688
HM144,6593,45,76,119354,3,3,592342304427417601
HM145,6633,34,61,213756,2,2,593660512543514624
HM146,6690,10,60,338579,3,3,592657046941597696
HM147,6744,25,77,240051,4,4,592674121022078976
HM148,6787,49,67,328916,3,3,593801438700122112
HM149,6834,16,66,226383,4,4,591959492209856512
HM150,6882,18,75,282117,3,3,593117322514014209
HM151,6939,44,64,185452,3,3,593355314998550528
HM152,6969,38,75,103579,1,1,591934166398332928
HM153,7014,24,69,426784,1,4,592689834898137090
HM154,7064,21,63,307673,3,4,592147611894833152
HM155,7108,48,69,430191,2,2,593121566726074368
HM156,7166,12,76,150547,3,2,593785562865082368
HM157,7225,20,79,373271,1,1,592824371703590913
HM158,7280,10,72,102042,1,1,593283759685832704
HM159,7324,17,75,452215,4,4,592126024437125121
HM160,7381,4,65,418491,3,3,592137589601267713
HM161,7413,16,69,177650,3,3,592208483929296896
HM162,7463,4,64,464262,3,3,593160485689778177
HM163,7501,34,71,188399,1,1,593122765546205184
HM164,7538,4,68,128928,4,4,591928084766412800
HM165,7589,0,66,330006,3,4,592113856547131392
HM166,7642,5,62,363599,4,4,592367611427586048
HM167,7699,9,79,138068,2,3,592343015756169216
HM168,7735,50,72,121314,3,2,592699807615086592
HM169,7792,41,67,483427,1,1,592335911683104768
HM170,7847,31,65,332876,4,3,592875153484316674
HM171,7886,21,77,317487,3,3,593025123826864128
HM172,7917,7,63,349565,3,3,592631425242763265
HM173,7970,31,73,229857,4,4,592117211478753280
HM174,8025,31,70,334701,3,3,591990042198835200
HM175,8069,30,78,339162,4,4,592208474764902400
HM176,8104,32,76,496121,4,4,592343586336681985
HM177,8138,32,67,187837,1,1,591940962424889344
HM178,8179,29,72,345461,1,1,593395116066242560
HM179,8232,5,68,426143,4,4,592700322964996098
HM180,8271,12,60,166453,3,3,593156830534078464
HM181,8301,4,67,121324,3,3,600034425129271297
HM182,8352,26,71,473125,4,4,592338885927182337
HM183,8405,35,76,436761,3,3,591909208620142592
HM184,8440,52,79,219604,4,4,592700345656172544
HM185,8487,24,79,414847,3,3,593149954794921987
HM186,8529,23,61,315770,2,3,593296832060489729
HM187,8574,58,76,199786,4,4,592763915353858048
HM188,8604,30,64,273005,1,4,592700919109791744
HM189,8653,22,69,202032,3,3,593466034495082496
HM190,8691,55,70,422696,4,4,600447008835543040
HM191,8738,38,76,339237,1,1,592358000112861186
HM192,8781,13,74,133601,3,3,593442271292305408
HM193,8829,49,74,297075,4,4,592162156025610240
HM194,8862,43,79,247045,1,1,593183136294436864
HM195,8903,8,70,432131,3,3,592343878474293250
HM196,8952,29,63,277086,3,3,592342680144719873
HM197,9005,32,63,453322,1,1,592909332750143493
HM198,9046,47,76,338966,4,4,592670963340353537
HM199,9076,24,64,223389,4,4,600481398944768000
HM200,9128,21,67,463164,1,1,592821756462821378
HM201,9173,35,74,358991,3,3,600101493753171969
HM202,9223,32,67,220599,3,3,592343665844051968
HM203,9257,33,63,188003,1,1,592913342575943681
HM204,9300,22,67,238215,4,3,593324254986276864
HM205,9357,12,71,197308,3,3,591975137227870211
HM206,9413,51,72,368803,4,1,592327306909069312
HM207,9452,52,76,114347,1,2,592698937804509184
HM208,9501,54,64,183583,2,2,592684312153174016
HM209,9533,4,73,366825,4,3,592357231649161217
HM210,9588,37,77,303953,1,1,591992442049560577
