,precision,recall,f1-score,support
caution_and_advice,0.0,0.0,0.0,7.0
displaced_people_and_evacuations,0.45454545454545453,0.5882352941176471,0.5128205128205128,17.0
donation_needs_or_offers_or_volunteering_services,0.7663043478260869,0.7921348314606742,0.7790055248618785,178.0
infrastructure_and_utilities_damage,0.5,0.5384615384615384,0.5185185185185185,26.0
injured_or_dead_people,0.7878787878787878,0.7536231884057971,0.7703703703703704,69.0
missing_trapped_or_found_people,0.5869565217391305,0.7297297297297297,0.6506024096385542,37.0
not_related_or_irrelevant,0.38095238095238093,0.45714285714285713,0.4155844155844156,35.0
other_useful_information,0.5714285714285714,0.5,0.5333333333333333,128.0
sympathy_and_emotional_support,0.83,0.7980769230769231,0.8137254901960784,104.0
accuracy,0.6772046589018302,0.6772046589018302,0.6772046589018302,0.6772046589018302
macro avg,0.5420073404856013,0.5730449291550186,0.5548845083692957,601.0
weighted avg,0.6755518548826803,0.6772046589018302,0.6747584534601331,601.0
