message_id,creation_time,source,destination,size,true_priority,predicted_priority,tweet_id
M1,88,22,78,329060,4,4,592645001957408769
M2,179,56,68,247736,3,3,592158813391720448
M3,285,52,78,456757,1,1,592742935910850562
M4,402,1,73,219008,3,2,592312120894627840
M5,464,5,61,117020,3,3,593148336435236864
M6,532,7,66,254890,3,3,592931363667345408
M7,642,38,67,302503,3,2,592700281210720257
M8,759,21,74,167215,1,1,593797959692754945
M9,834,9,69,190267,4,4,592863475426316289
M10,913,5,67,130004,4,4,592251563558752258
M11,1026,54,77,484598,1,1,591989267968167936
M12,1111,35,79,448481,3,3,593110945095929856
M13,1187,2,68,294095,4,4,593106744517099520
M14,1297,15,64,447354,3,2,592897910574055424
M15,1372,39,65,459016,3,3,593830138816679936
M16,1456,15,65,284328,1,1,592883809391083520
M17,1555,45,60,432242,1,1,592700771273187328
M18,1648,17,71,375351,3,3,592910523353669632
M19,1713,37,65,401537,1,1,592751611631513601
M20,1774,5,72,445060,3,3,592378631738949632
M21,1886,48,75,205212,3,4,592645260880281600
M22,1991,44,65,256289,4,4,592121096326881280
M23,2102,32,60,317463,1,1,592171131743776768
M24,2194,39,71,384724,4,4,592251762196750336
M25,2303,3,63,366087,3,4,593807504548704256
M26,2383,36,72,401917,2,2,592681522446147586
M27,2470,27,66,391730,4,4,592666339547938818
M28,2578,2,77,131229,3,3,593798264304041984
M29,2645,1,70,236323,3,3,593305362746322944
M30,2723,25,73,155264,3,3,593317620113276929
M31,2790,43,67,493629,3,3,592763161259986945
M32,2877,41,68,400132,1,1,592756339530702849
M33,2996,10,77,303417,2,3,593082426298994689
M34,3064,9,71,382260,4,3,592174200460341249
M35,3147,15,64,146877,4,4,592184148975980544
M36,3231,23,62,174107,3,3,592810687715500032
M37,3346,8,71,361528,3,3,592332699869806592
M38,3418,1,76,430693,4,4,592344826143604736
M39,3508,21,75,378998,1,1,592313801447452672
M40,3584,4,61,420361,2,2,593463828576342019
M41,3645,11,78,260277,3,3,593604958769061888
M42,3750,12,74,233097,3,3,591905667750866944
M43,3813,22,77,304143,1,1,592140023211819008
M44,3890,24,79,236113,3,3,592342994562490368
M45,3980,3,62,189662,2,3,592667138768379904
M46,4069,27,60,144228,3,4,592902025991561216
M47,4136,54,75,430711,4,4,592339843537047552
M48,4255,53,79,278193,4,4,593691981345202176
M49,4360,8,73,262182,4,4,593342081453707265
M50,4478,18,77,143904,3,3,592640033875632128
M51,4543,39,68,486752,2,2,592244109898850305
M52,4647,1,77,317363,3,4,593640712068968448
M53,4724,34,60,335393,3,3,592344928111329280
M54,4817,49,61,349833,3,3,592696711799250944
M55,4933,47,63,152280,4,4,592652666901168128
M56,5009,3,65,332777,3,3,593302157639585792
M57,5113,16,74,359531,3,3,592342796939304961
M58,5182,5,66,128659,4,4,592272935815127041
M59,5261,30,61,399116,2,2,592320522660106240
M60,5380,57,78,348668,4,3,592344667942825984
M61,5465,47,66,449959,3,3,592340548482048000
M62,5556,45,78,400886,3,3,592346761919889408
M63,5633,45,65,239366,4,2,593460334532374528
M64,5700,20,73,156741,3,3,593805450937696256
M65,5785,58,74,441925,3,3,593435492768583682
M66,5883,7,72,338031,3,3,592945195605467136
M67,5970,8,67,403985,3,3,592343803979124737
M68,6077,23,72,427623,3,3,592612974302367744
M69,6159,27,61,338246,1,1,592173693167480832
M70,6256,20,67,177447,3,4,592334866823294977
M71,6363,28,67,299874,3,3,593032908702621696
M72,6478,52,77,465366,3,3,592972521894387713
M73,6564,27,66,178029,3,3,593097742978789376
M74,6626,25,63,488766,2,2,593152820607643649
M75,6729,38,74,156181,3,4,592343900179730432
M76,6821,4,69,384658,3,3,597666520702025728
M77,6934,53,66,343268,4,4,592349417115553792
M78,7022,55,76,448815,2,2,593688748820471808
M79,7104,1,73,202214,3,4,591989932438073344
M80,7167,37,66,208713,1,1,592648766169026561
M81,7254,59,70,178036,4,4,592312284975792130
M82,7353,7,79,365988,1,1,592332945320382464
M83,7459,9,77,210011,4,3,593444013878874114
M84,7571,6,76,470458,2,1,592326613578067969
M85,7644,55,74,214223,1,1,592781004038889472
M86,7740,27,72,117891,1,1,591933335158403072
M87,7849,57,68,203673,1,1,593070854377906177
M88,7924,5,63,428330,3,3,592869879092482050
M89,8005,41,69,172573,3,3,593301158950805504
M90,8116,37,68,194769,1,1,592087968031969280
M91,8211,32,69,153911,3,3,592141073071349760
M92,8302,36,63,420446,3,3,592337847937544192
M93,8403,7,77,367152,4,4,592390506690150403
