# time  ID  size  fromHost  toHost  TTL  isResponse
88.0000 M1 329060 p22 r78 300 N 
179.0000 M2 247736 p56 r68 300 N 
285.0000 M3 456757 p52 r78 300 N 
402.0000 M4 219008 p1 r73 300 N 
464.0000 M5 117020 p5 r61 300 N 
532.0000 M6 254890 p7 r66 300 N 
642.0000 M7 302503 p38 r67 300 N 
759.0000 M8 167215 p21 r74 300 N 
834.0000 M9 190267 p9 r69 300 N 
913.0000 M10 130004 p5 r67 300 N 
1026.0000 M11 484598 p54 r77 300 N 
1111.0000 M12 448481 p35 r79 300 N 
1187.0000 M13 294095 p2 r68 300 N 
1297.0000 M14 447354 p15 r64 300 N 
1372.0000 M15 459016 p39 r65 300 N 
1456.0000 M16 284328 p15 r65 300 N 
1555.0000 M17 432242 p45 r60 300 N 
1648.0000 M18 375351 p17 r71 300 N 
1713.0000 M19 401537 p37 r65 300 N 
1774.0000 M20 445060 p5 r72 300 N 
1886.0000 M21 205212 p48 r75 300 N 
1991.0000 M22 256289 p44 r65 300 N 
2102.0000 M23 317463 p32 r60 300 N 
2194.0000 M24 384724 p39 r71 300 N 
2303.0000 M25 366087 p3 r63 300 N 
2383.0000 M26 401917 p36 r72 300 N 
2470.0000 M27 391730 p27 r66 300 N 
2578.0000 M28 131229 p2 r77 300 N 
2645.0000 M29 236323 p1 r70 300 N 
2723.0000 M30 155264 p25 r73 300 N 
2790.0000 M31 493629 p43 r67 300 N 
2877.0000 M32 400132 p41 r68 300 N 
2996.0000 M33 303417 p10 r77 300 N 
3064.0000 M34 382260 p9 r71 300 N 
3147.0000 M35 146877 p15 r64 300 N 
3231.0000 M36 174107 p23 r62 300 N 
3346.0000 M37 361528 p8 r71 300 N 
3418.0000 M38 430693 p1 r76 300 N 
3508.0000 M39 378998 p21 r75 300 N 
3584.0000 M40 420361 p4 r61 300 N 
3645.0000 M41 260277 p11 r78 300 N 
3750.0000 M42 233097 p12 r74 300 N 
3813.0000 M43 304143 p22 r77 300 N 
3890.0000 M44 236113 p24 r79 300 N 
3980.0000 M45 189662 p3 r62 300 N 
4069.0000 M46 144228 p27 r60 300 N 
4136.0000 M47 430711 p54 r75 300 N 
4255.0000 M48 278193 p53 r79 300 N 
4360.0000 M49 262182 p8 r73 300 N 
4478.0000 M50 143904 p18 r77 300 N 
4543.0000 M51 486752 p39 r68 300 N 
4647.0000 M52 317363 p1 r77 300 N 
4724.0000 M53 335393 p34 r60 300 N 
4817.0000 M54 349833 p49 r61 300 N 
4933.0000 M55 152280 p47 r63 300 N 
5009.0000 M56 332777 p3 r65 300 N 
5113.0000 M57 359531 p16 r74 300 N 
5182.0000 M58 128659 p5 r66 300 N 
5261.0000 M59 399116 p30 r61 300 N 
5380.0000 M60 348668 p57 r78 300 N 
5465.0000 M61 449959 p47 r66 300 N 
5556.0000 M62 400886 p45 r78 300 N 
5633.0000 M63 239366 p45 r65 300 N 
5700.0000 M64 156741 p20 r73 300 N 
5785.0000 M65 441925 p58 r74 300 N 
5883.0000 M66 338031 p7 r72 300 N 
5970.0000 M67 403985 p8 r67 300 N 
6077.0000 M68 427623 p23 r72 300 N 
6159.0000 M69 338246 p27 r61 300 N 
6256.0000 M70 177447 p20 r67 300 N 
6363.0000 M71 299874 p28 r67 300 N 
6478.0000 M72 465366 p52 r77 300 N 
6564.0000 M73 178029 p27 r66 300 N 
6626.0000 M74 488766 p25 r63 300 N 
6729.0000 M75 156181 p38 r74 300 N 
6821.0000 M76 384658 p4 r69 300 N 
6934.0000 M77 343268 p53 r66 300 N 
7022.0000 M78 448815 p55 r76 300 N 
7104.0000 M79 202214 p1 r73 300 N 
7167.0000 M80 208713 p37 r66 300 N 
7254.0000 M81 178036 p59 r70 300 N 
7353.0000 M82 365988 p7 r79 300 N 
7459.0000 M83 210011 p9 r77 300 N 
7571.0000 M84 470458 p6 r76 300 N 
7644.0000 M85 214223 p55 r74 300 N 
7740.0000 M86 117891 p27 r72 300 N 
7849.0000 M87 203673 p57 r68 300 N 
7924.0000 M88 428330 p5 r63 300 N 
8005.0000 M89 172573 p41 r69 300 N 
8116.0000 M90 194769 p37 r68 300 N 
8211.0000 M91 153911 p32 r69 300 N 
8302.0000 M92 420446 p36 r63 300 N 
8403.0000 M93 367152 p7 r77 300 N 
8494.0000 M94 356968 p1 r63 300 N 
8613.0000 M95 237229 p37 r62 300 N 
8718.0000 M96 420618 p48 r67 300 N 
8781.0000 M97 176945 p53 r68 300 N 
8850.0000 M98 260398 p47 r62 300 N 
8943.0000 M99 180338 p27 r70 300 N 
9052.0000 M100 280086 p54 r64 300 N 
9116.0000 M101 259580 p1 r68 300 N 
9217.0000 M102 469719 p40 r62 300 N 
9323.0000 M103 301560 p30 r71 300 N 
9431.0000 M104 128493 p41 r73 300 N 
9544.0000 M105 191418 p52 r69 300 N 
9615.0000 M106 162480 p9 r64 300 N 
9708.0000 M107 353848 p46 r68 300 N 
9816.0000 M108 489133 p1 r77 300 N 
9897.0000 M109 183680 p27 r73 300 N 
9968.0000 M110 465301 p3 r61 300 N 
10057.0000 M111 470641 p14 r66 300 N 
10121.0000 M112 158747 p57 r72 300 N 
10194.0000 M113 122335 p24 r72 300 N 
10306.0000 M114 489384 p38 r60 300 N 
10406.0000 M115 467488 p57 r74 300 N 
10518.0000 M116 206182 p56 r61 300 N 
10629.0000 M117 165479 p5 r62 300 N 
10742.0000 M118 456843 p20 r73 300 N 
10820.0000 M119 375267 p59 r66 300 N 
10908.0000 M120 461910 p45 r73 300 N 
11005.0000 M121 148569 p25 r78 300 N 
11081.0000 M122 109498 p3 r66 300 N 
11197.0000 M123 331548 p38 r79 300 N 
11257.0000 M124 103884 p9 r71 300 N 
11368.0000 M125 202282 p54 r79 300 N 
11467.0000 M126 230798 p16 r75 300 N 
11542.0000 M127 492419 p26 r60 300 N 
11645.0000 M128 472472 p33 r66 300 N 
11730.0000 M129 243288 p29 r76 300 N 
11840.0000 M130 416538 p33 r75 300 N 
11960.0000 M131 464742 p48 r78 300 N 
12037.0000 M132 254740 p29 r76 300 N 
12125.0000 M133 490571 p20 r78 300 N 
12198.0000 M134 443205 p25 r60 300 N 
12300.0000 M135 340830 p47 r74 300 N 
12398.0000 M136 223025 p34 r64 300 N 
12509.0000 M137 198365 p27 r73 300 N 
12618.0000 M138 238967 p57 r76 300 N 
12737.0000 M139 457758 p15 r74 300 N 
12855.0000 M140 176191 p27 r77 300 N 
12969.0000 M141 241699 p57 r71 300 N 
13038.0000 M142 483821 p50 r68 300 N 
13100.0000 M143 369133 p34 r75 300 N 
13189.0000 M144 421453 p3 r64 300 N 
13270.0000 M145 139343 p33 r70 300 N 
13384.0000 M146 284970 p23 r79 300 N 
13492.0000 M147 410449 p58 r64 300 N 
13577.0000 M148 205710 p33 r73 300 N 
13672.0000 M149 449570 p34 r61 300 N 
13767.0000 M150 486392 p37 r79 300 N 
13881.0000 M151 291813 p24 r78 300 N 
13942.0000 M152 258728 p15 r71 300 N 
14031.0000 M153 288133 p30 r75 300 N 
14132.0000 M154 184282 p23 r71 300 N 
14219.0000 M155 132274 p49 r63 300 N 
14335.0000 M156 269862 p56 r68 300 N 
14452.0000 M157 248856 p27 r76 300 N 
14562.0000 M158 387649 p38 r65 300 N 
14650.0000 M159 162649 p11 r66 300 N 
14764.0000 M160 408274 p35 r74 300 N 
14828.0000 M161 165098 p9 r72 300 N 
14928.0000 M162 143594 p3 r68 300 N 
15004.0000 M163 469435 p12 r67 300 N 
15078.0000 M164 478373 p3 r76 300 N 
15179.0000 M165 230375 p51 r64 300 N 
15285.0000 M166 369828 p12 r66 300 N 
15399.0000 M167 184085 p54 r63 300 N 
15471.0000 M168 124998 p8 r65 300 N 
15584.0000 M169 189688 p40 r61 300 N 
15694.0000 M170 434975 p59 r65 300 N 
15773.0000 M171 428356 p6 r61 300 N 
15836.0000 M172 488762 p0 r71 300 N 
15943.0000 M173 441106 p17 r61 300 N 
16053.0000 M174 435099 p21 r60 300 N 
16141.0000 M175 326003 p29 r61 300 N 
16211.0000 M176 103913 p3 r63 300 N 
16279.0000 M177 391755 p4 r76 300 N 
16361.0000 M178 289236 p38 r73 300 N 
16467.0000 M179 426642 p5 r70 300 N 
16546.0000 M180 335670 p2 r67 300 N 
16607.0000 M181 237404 p22 r62 300 N 
16709.0000 M182 455200 p4 r70 300 N 
16814.0000 M183 331093 p8 r70 300 N 
16884.0000 M184 301104 p4 r70 300 N 
16978.0000 M185 207741 p29 r70 300 N 
17062.0000 M186 130929 p16 r70 300 N 
17152.0000 M187 144663 p49 r69 300 N 
17212.0000 M188 473411 p34 r61 300 N 
17310.0000 M189 121500 p19 r64 300 N 
17386.0000 M190 480695 p48 r61 300 N 
17479.0000 M191 114379 p11 r68 300 N 
17564.0000 M192 294465 p16 r71 300 N 
17661.0000 M193 261859 p8 r77 300 N 
17727.0000 M194 121377 p16 r68 300 N 
17809.0000 M195 472602 p24 r67 300 N 
17907.0000 M196 435557 p49 r79 300 N 
18013.0000 M197 360389 p21 r70 300 N 
18096.0000 M198 396669 p44 r67 300 N 
18157.0000 M199 302244 p50 r78 300 N 
18261.0000 M200 488494 p7 r72 300 N 
18351.0000 M201 440426 p43 r64 300 N 
18450.0000 M202 102925 p48 r76 300 N 
18519.0000 M203 211335 p21 r74 300 N 
18605.0000 M204 274198 p49 r62 300 N 
18718.0000 M205 360955 p48 r69 300 N 
18830.0000 M206 213521 p10 r70 300 N 
18909.0000 M207 328983 p9 r75 300 N 
19007.0000 M208 143082 p37 r68 300 N 
19072.0000 M209 355562 p25 r67 300 N 
19181.0000 M210 394054 p11 r71 300 N 
19257.0000 M211 398747 p58 r70 300 N 
19337.0000 M212 236486 p14 r71 300 N 
19455.0000 M213 131459 p10 r67 300 N 
19548.0000 M214 115587 p29 r64 300 N 
19661.0000 M215 285542 p21 r77 300 N 
19732.0000 M216 153450 p31 r77 300 N 
19838.0000 M217 163700 p19 r78 300 N 
19958.0000 M218 422400 p28 r61 300 N 
20022.0000 M219 443446 p27 r72 300 N 
20096.0000 M220 342349 p32 r66 300 N 
20164.0000 M221 142012 p54 r79 300 N 
20239.0000 M222 186020 p12 r72 300 N 
20317.0000 M223 461037 p25 r74 300 N 
20381.0000 M224 378417 p46 r72 300 N 
20495.0000 M225 195190 p54 r76 300 N 
20570.0000 M226 152162 p16 r64 300 N 
20686.0000 M227 315431 p56 r77 300 N 
20792.0000 M228 369275 p54 r67 300 N 
20862.0000 M229 341584 p16 r65 300 N 
20964.0000 M230 362016 p30 r67 300 N 
21071.0000 M231 187590 p42 r79 300 N 
21138.0000 M232 102210 p18 r63 300 N 
21205.0000 M233 159583 p13 r67 300 N 
21287.0000 M234 304606 p10 r77 300 N 
21351.0000 M235 392374 p27 r69 300 N 
21436.0000 M236 390526 p29 r63 300 N 
21525.0000 M237 337596 p43 r63 300 N 
21625.0000 M238 403414 p22 r78 300 N 
21719.0000 M239 297893 p29 r76 300 N 
21806.0000 M240 382284 p37 r74 300 N 
21879.0000 M241 117535 p44 r66 300 N 
21974.0000 M242 454019 p29 r60 300 N 
22061.0000 M243 422950 p10 r73 300 N 
22172.0000 M244 402483 p2 r77 300 N 
22274.0000 M245 444134 p30 r64 300 N 
22378.0000 M246 468796 p49 r62 300 N 
22472.0000 M247 314774 p34 r67 300 N 
22554.0000 M248 265923 p3 r65 300 N 
22631.0000 M249 310373 p6 r67 300 N 
22718.0000 M250 113664 p49 r68 300 N 
22812.0000 M251 468125 p18 r64 300 N 
22894.0000 M252 172401 p48 r79 300 N 
22962.0000 M253 468557 p9 r60 300 N 
23028.0000 M254 215113 p55 r74 300 N 
23090.0000 M255 312937 p10 r75 300 N 
23162.0000 M256 116716 p39 r68 300 N 
23246.0000 M257 108828 p26 r79 300 N 
23323.0000 M258 143263 p9 r79 300 N 
23393.0000 M259 145378 p20 r64 300 N 
23472.0000 M260 307512 p26 r63 300 N 
23575.0000 M261 155470 p13 r63 300 N 
23654.0000 M262 200996 p26 r62 300 N 
23770.0000 M263 194566 p7 r66 300 N 
23865.0000 M264 214214 p37 r64 300 N 
23933.0000 M265 440247 p57 r61 300 N 
24052.0000 M266 396588 p22 r70 300 N 
24165.0000 M267 473656 p27 r72 300 N 
24272.0000 M268 441872 p40 r76 300 N 
24341.0000 M269 186112 p55 r67 300 N 
24449.0000 M270 444816 p12 r65 300 N 
24551.0000 M271 114101 p9 r71 300 N 
24657.0000 M272 248249 p21 r70 300 N 
24760.0000 M273 144856 p57 r78 300 N 
24856.0000 M274 383852 p32 r70 300 N 
24936.0000 M275 336005 p3 r77 300 N 
25051.0000 M276 440922 p25 r61 300 N 
25170.0000 M277 358894 p58 r78 300 N 
25272.0000 M278 160383 p7 r68 300 N 
25353.0000 M279 454254 p13 r78 300 N 
25443.0000 M280 180221 p57 r62 300 N 
25537.0000 M281 479955 p3 r71 300 N 
25601.0000 M282 359184 p41 r71 300 N 
25666.0000 M283 219694 p31 r70 300 N 
25755.0000 M284 206220 p49 r64 300 N 
25849.0000 M285 211665 p54 r60 300 N 
25921.0000 M286 177071 p21 r62 300 N 
25997.0000 M287 487575 p18 r62 300 N 
26065.0000 M288 247008 p56 r71 300 N 
26180.0000 M289 455449 p36 r70 300 N 
26270.0000 M290 106393 p48 r68 300 N 
26346.0000 M291 342176 p1 r77 300 N 
26453.0000 M292 275328 p58 r67 300 N 
26571.0000 M293 450885 p25 r68 300 N 
26648.0000 M294 118908 p11 r61 300 N 
26762.0000 M295 448752 p38 r60 300 N 
26868.0000 M296 197884 p28 r78 300 N 
26976.0000 M297 179724 p44 r64 300 N 
27068.0000 M298 187017 p23 r63 300 N 
27183.0000 M299 232416 p17 r75 300 N 
27252.0000 M300 231778 p36 r76 300 N 
27317.0000 M301 236087 p55 r63 300 N 
27435.0000 M302 150156 p15 r70 300 N 
27524.0000 M303 314176 p38 r63 300 N 
27608.0000 M304 288479 p6 r71 300 N 
27712.0000 M305 266320 p9 r65 300 N 
27790.0000 M306 375143 p28 r66 300 N 
27888.0000 M307 147596 p3 r72 300 N 
27999.0000 M308 235571 p38 r78 300 N 
28107.0000 M309 403107 p34 r76 300 N 
28174.0000 M310 470878 p23 r60 300 N 
28293.0000 M311 103801 p45 r64 300 N 
28397.0000 M312 443907 p59 r77 300 N 
28499.0000 M313 406190 p55 r71 300 N 
28570.0000 M314 222406 p24 r65 300 N 
28686.0000 M315 471524 p36 r70 300 N 
28769.0000 M316 115560 p17 r79 300 N 
28886.0000 M317 444974 p5 r68 300 N 
28960.0000 M318 407277 p48 r60 300 N 
29025.0000 M319 325872 p24 r71 300 N 
29136.0000 M320 196005 p28 r76 300 N 
29231.0000 M321 216427 p24 r76 300 N 
29314.0000 M322 232864 p16 r74 300 N 
29433.0000 M323 332166 p42 r64 300 N 
29552.0000 M324 331734 p17 r69 300 N 
29612.0000 M325 447765 p1 r69 300 N 
29710.0000 M326 499552 p56 r74 300 N 
29819.0000 M327 477347 p42 r61 300 N 
29921.0000 M328 219871 p57 r61 300 N 
30017.0000 M329 492908 p49 r70 300 N 
30108.0000 M330 287409 p38 r61 300 N 
30200.0000 M331 397309 p59 r75 300 N 
30278.0000 M332 350980 p16 r69 300 N 
30346.0000 M333 287404 p9 r79 300 N 
30430.0000 M334 373349 p42 r64 300 N 
30532.0000 M335 193611 p41 r69 300 N 
30649.0000 M336 184866 p13 r77 300 N 
30767.0000 M337 147907 p59 r65 300 N 
30839.0000 M338 338129 p19 r64 300 N 
30900.0000 M339 430518 p58 r71 300 N 
31020.0000 M340 317643 p32 r72 300 N 
31120.0000 M341 325139 p10 r67 300 N 
31226.0000 M342 363432 p24 r76 300 N 
31335.0000 M343 462694 p7 r62 300 N 
31416.0000 M344 145998 p21 r73 300 N 
31528.0000 M345 345215 p33 r70 300 N 
31627.0000 M346 150517 p58 r78 300 N 
31726.0000 M347 374196 p58 r75 300 N 
31809.0000 M348 490211 p10 r76 300 N 
31889.0000 M349 450406 p40 r77 300 N 
31972.0000 M350 428521 p36 r60 300 N 
32075.0000 M351 460296 p22 r79 300 N 
32165.0000 M352 431023 p2 r62 300 N 
32226.0000 M353 437134 p33 r67 300 N 
32287.0000 M354 473642 p5 r65 300 N 
32358.0000 M355 201039 p48 r65 300 N 
32448.0000 M356 484260 p12 r61 300 N 
32544.0000 M357 401184 p46 r62 300 N 
32663.0000 M358 257395 p59 r65 300 N 
32770.0000 M359 469749 p29 r68 300 N 
32847.0000 M360 401627 p43 r64 300 N 
32938.0000 M361 492980 p24 r76 300 N 
33043.0000 M362 356648 p52 r60 300 N 
33156.0000 M363 497351 p41 r64 300 N 
33243.0000 M364 323940 p2 r79 300 N 
33346.0000 M365 482584 p22 r76 300 N 
33418.0000 M366 371740 p40 r77 300 N 
33506.0000 M367 431296 p29 r74 300 N 
33621.0000 M368 227773 p26 r70 300 N 
33704.0000 M369 435859 p26 r64 300 N 
33765.0000 M370 444872 p24 r76 300 N 
33873.0000 M371 257331 p31 r72 300 N 
33951.0000 M372 262809 p42 r77 300 N 
34037.0000 M373 372235 p17 r76 300 N 
34157.0000 M374 159271 p18 r77 300 N 
34240.0000 M375 494711 p29 r78 300 N 
34315.0000 M376 104392 p30 r60 300 N 
34389.0000 M377 170010 p29 r63 300 N 
34500.0000 M378 355676 p15 r71 300 N 
34573.0000 M379 428640 p42 r76 300 N 
34669.0000 M380 192652 p23 r77 300 N 
34743.0000 M381 355050 p36 r75 300 N 
34852.0000 M382 482427 p31 r77 300 N 
34955.0000 M383 163691 p47 r64 300 N 
35053.0000 M384 178001 p9 r76 300 N 
35138.0000 M385 200207 p9 r65 300 N 
35220.0000 M386 226472 p16 r60 300 N 
35337.0000 M387 336994 p58 r79 300 N 
35443.0000 M388 493653 p25 r71 300 N 
35526.0000 M389 428756 p1 r67 300 N 
35587.0000 M390 307942 p28 r67 300 N 
35654.0000 M391 349416 p16 r65 300 N 
35741.0000 M392 468810 p48 r74 300 N 
35829.0000 M393 482580 p1 r74 300 N 
35911.0000 M394 412575 p38 r67 300 N 
36031.0000 M395 418926 p2 r62 300 N 
36120.0000 M396 147586 p33 r66 300 N 
36228.0000 M397 223446 p47 r69 300 N 
36295.0000 M398 186393 p52 r76 300 N 
36377.0000 M399 423636 p7 r67 300 N 
36450.0000 M400 254871 p11 r69 300 N 
36518.0000 M401 124411 p9 r70 300 N 
36612.0000 M402 452383 p6 r62 300 N 
36680.0000 M403 467994 p1 r72 300 N 
36763.0000 M404 233595 p23 r68 300 N 
36864.0000 M405 482334 p27 r72 300 N 
36972.0000 M406 285233 p8 r74 300 N 
37066.0000 M407 227469 p50 r68 300 N 
37162.0000 M408 292306 p33 r67 300 N 
37239.0000 M409 303889 p47 r77 300 N 
37351.0000 M410 229902 p34 r75 300 N 
37422.0000 M411 356265 p32 r76 300 N 
37526.0000 M412 414594 p7 r74 300 N 
37591.0000 M413 437381 p23 r78 300 N 
37687.0000 M414 121930 p42 r77 300 N 
37762.0000 M415 256145 p14 r68 300 N 
37839.0000 M416 190364 p33 r78 300 N 
37920.0000 M417 450422 p38 r74 300 N 
38027.0000 M418 430034 p25 r75 300 N 
