# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
361.0000 M1 329060 2 273.0000 p22 r78 295 N p22->r71->r78
1152.0000 M8 167215 2 393.0000 p21 r74 293 N p21->v88->r74
1175.0000 M3 456757 2 890.0000 p52 r78 285 N p52->v91->r78
1328.0000 M2 247736 3 1149.0000 p56 r68 280 N p56->p29->v81->r68
1567.0000 M13 294095 3 380.0000 p2 r68 293 N p2->r70->v91->r68
1594.0000 M14 447354 3 297.0000 p15 r64 295 N p15->v92->r76->r64
1640.0000 M6 254890 2 1108.0000 p7 r66 281 N p7->v92->r66
1676.0000 M4 219008 3 1274.0000 p1 r73 278 N p1->p10->v89->r73
1813.0000 M7 302503 2 1171.0000 p38 r67 280 N p38->p1->r67
1822.0000 M9 190267 3 988.0000 p9 r69 283 N p9->r79->v90->r69
1860.0000 M11 484598 2 834.0000 p54 r77 286 N p54->v91->r77
1906.0000 M18 375351 2 258.0000 p17 r71 295 N p17->v81->r71
2001.0000 M10 130004 2 1088.0000 p5 r67 281 N p5->v89->r67
2205.0000 M22 256289 2 214.0000 p44 r65 296 N p44->v93->r65
2227.0000 M20 445060 2 453.0000 p5 r72 292 N p5->v94->r72
2483.0000 M24 384724 2 289.0000 p39 r71 295 N p39->v85->r71
2641.0000 M16 284328 2 1185.0000 p15 r65 280 N p15->v84->r65
2650.0000 M12 448481 2 1539.0000 p35 r79 274 N p35->v81->r79
2777.0000 M19 401537 2 1064.0000 p37 r65 282 N p37->r70->r65
2826.0000 M31 493629 2 36.0000 p43 r67 299 N p43->v88->r67
2952.0000 M5 117020 2 2488.0000 p5 r61 258 N p5->v91->r61
3097.0000 M29 236323 3 452.0000 p1 r70 292 N p1->p43->v81->r70
3302.0000 M23 317463 3 1200.0000 p32 r60 280 N p32->p22->v89->r60
3397.0000 M28 131229 2 819.0000 p2 r77 286 N p2->v94->r77
3399.0000 M33 303417 2 403.0000 p10 r77 293 N p10->v94->r77
4009.0000 M17 432242 1 2454.0000 p45 r60 259 N p45->r60
4132.0000 M43 304143 2 319.0000 p22 r77 294 N p22->v87->r77
4232.0000 M37 361528 3 886.0000 p8 r71 285 N p8->p24->p27->r71
4261.0000 M42 233097 2 511.0000 p12 r74 291 N p12->v88->r74
4293.0000 M35 146877 3 1146.0000 p15 r64 280 N p15->p37->v80->r64
4320.0000 M44 236113 2 430.0000 p24 r79 292 N p24->v92->r79
4345.0000 M46 144228 2 276.0000 p27 r60 295 N p27->r65->r60
4514.0000 M27 391730 2 2044.0000 p27 r66 265 N p27->v94->r66
4607.0000 M26 401917 2 2224.0000 p36 r72 262 N p36->p54->r72
4640.0000 M25 366087 3 2337.0000 p3 r63 261 N p3->p4->v94->r63
5061.0000 M15 459016 3 3689.0000 p39 r65 238 N p39->r75->p33->r65
5110.0000 M40 420361 3 1526.0000 p4 r61 274 N p4->p34->p53->r61
5188.0000 M34 382260 1 2124.0000 p9 r71 264 N p9->r71
5356.0000 M52 317363 2 709.0000 p1 r77 288 N p1->v92->r77
5387.0000 M55 152280 2 454.0000 p47 r63 292 N p47->v87->r63
5428.0000 M51 486752 2 885.0000 p39 r68 285 N p39->p2->r68
5436.0000 M48 278193 3 1181.0000 p53 r79 280 N p53->p34->v94->r79
5654.0000 M57 359531 2 541.0000 p16 r74 290 N p16->p17->r74
5810.0000 M62 400886 3 254.0000 p45 r78 295 N p45->p50->p42->r78
5862.0000 M47 430711 2 1726.0000 p54 r75 271 N p54->v83->r75
5892.0000 M39 378998 2 2384.0000 p21 r75 260 N p21->v89->r75
5942.0000 M41 260277 1 2297.0000 p11 r78 261 N p11->r78
6208.0000 M50 143904 2 1730.0000 p18 r77 271 N p18->v84->r77
6211.0000 M69 338246 3 52.0000 p27 r61 299 N p27->p43->v94->r61
6213.0000 M59 399116 3 952.0000 p30 r61 284 N p30->p15->v94->r61
6240.0000 M30 155264 1 3517.0000 p25 r73 241 N p25->r73
6429.0000 M66 338031 3 546.0000 p7 r72 290 N p7->p31->p17->r72
6517.0000 M38 430693 3 3099.0000 p1 r76 248 N p1->v88->p6->r76
6520.0000 M68 427623 1 443.0000 p23 r72 292 N p23->r72
6610.0000 M21 205212 2 4724.0000 p48 r75 221 N p48->r64->r75
6627.0000 M64 156741 2 927.0000 p20 r73 284 N p20->v90->r73
6834.0000 M70 177447 1 578.0000 p20 r67 290 N p20->r67
6850.0000 M75 156181 2 121.0000 p38 r74 297 N p38->v91->r74
6929.0000 M32 400132 2 4052.0000 p41 r68 232 N p41->r60->r68
7055.0000 M45 189662 2 3075.0000 p3 r62 248 N p3->p10->r62
7187.0000 M79 202214 3 83.0000 p1 r73 298 N p1->p4->v84->r73
7197.0000 M77 343268 2 263.0000 p53 r66 295 N p53->p34->r66
7590.0000 M81 178036 2 336.0000 p59 r70 294 N p59->v93->r70
7680.0000 M53 335393 1 2956.0000 p34 r60 250 N p34->r60
7685.0000 M54 349833 3 2868.0000 p49 r61 252 N p49->p34->p47->r61
7866.0000 M67 403985 2 1896.0000 p8 r67 268 N p8->r76->r67
8022.0000 M72 465366 2 1544.0000 p52 r77 274 N p52->v82->r77
8183.0000 M87 203673 3 334.0000 p57 r68 294 N p57->v94->p42->r68
8372.0000 M78 448815 2 1350.0000 p55 r76 277 N p55->v81->r76
8457.0000 M83 210011 2 998.0000 p9 r77 283 N p9->v92->r77
8640.0000 M86 117891 2 900.0000 p27 r72 285 N p27->r68->r72
8670.0000 M56 332777 2 3661.0000 p3 r65 238 N p3->r66->r65
8680.0000 M89 172573 2 675.0000 p41 r69 288 N p41->r70->r69
8732.0000 M93 367152 2 329.0000 p7 r77 294 N p7->v94->r77
8824.0000 M60 348668 2 3444.0000 p57 r78 242 N p57->v94->r78
8894.0000 M49 262182 3 4534.0000 p8 r73 224 N p8->v85->v83->r73
9005.0000 M76 384658 3 2184.0000 p4 r69 263 N p4->v81->p55->r69
9191.0000 M98 260398 2 341.0000 p47 r62 294 N p47->v91->r62
9211.0000 M92 420446 2 909.0000 p36 r63 284 N p36->v82->r63
9213.0000 M74 488766 2 2587.0000 p25 r63 256 N p25->v82->r63
9259.0000 M90 194769 2 1143.0000 p37 r68 280 N p37->v80->r68
9289.0000 M82 365988 3 1936.0000 p7 r79 267 N p7->r70->v93->r79
9362.0000 M95 237229 2 749.0000 p37 r62 287 N p37->p13->r62
9372.0000 M71 299874 2 3009.0000 p28 r67 249 N p28->v87->r67
9398.0000 M85 214223 3 1754.0000 p55 r74 270 N p55->p17->r69->r74
9404.0000 M100 280086 1 352.0000 p54 r64 294 N p54->r64
9457.0000 M58 128659 1 4275.0000 p5 r66 228 N p5->r66
9522.0000 M65 441925 2 3737.0000 p58 r74 237 N p58->v85->r74
9528.0000 M96 420618 3 810.0000 p48 r67 286 N p48->r63->v82->r67
9549.0000 M99 180338 2 606.0000 p27 r70 289 N p27->r63->r70
9754.0000 M106 162480 1 139.0000 p9 r64 297 N p9->r64
10026.0000 M104 128493 2 595.0000 p41 r73 290 N p41->p0->r73
10086.0000 M84 470458 2 2515.0000 p6 r76 258 N p6->r79->r76
10153.0000 M80 208713 3 2986.0000 p37 r66 250 N p37->p29->v88->r66
10216.0000 M61 449959 2 4751.0000 p47 r66 220 N p47->v91->r66
10255.0000 M73 178029 3 3691.0000 p27 r66 238 N p27->p43->v94->r66
10284.0000 M110 465301 2 316.0000 p3 r61 294 N p3->v81->r61
10718.0000 M91 153911 2 2507.0000 p32 r69 258 N p32->v89->r69
10903.0000 M101 259580 2 1787.0000 p1 r68 270 N p1->v84->r68
11038.0000 M63 239366 2 5405.0000 p45 r65 209 N p45->r64->r65
11101.0000 M103 301560 2 1778.0000 p30 r71 270 N p30->r66->r71
11367.0000 M107 353848 2 1659.0000 p46 r68 272 N p46->v91->r68
11401.0000 M122 109498 2 320.0000 p3 r66 294 N p3->v85->r66
11418.0000 M114 489384 2 1112.0000 p38 r60 281 N p38->v80->r60
11492.0000 M119 375267 3 672.0000 p59 r66 288 N p59->p21->v89->r66
11541.0000 M97 176945 2 2760.0000 p53 r68 254 N p53->p49->r68
11600.0000 M112 158747 3 1479.0000 p57 r72 275 N p57->p17->r61->r72
11704.0000 M102 469719 2 2487.0000 p40 r62 258 N p40->p20->r62
11800.0000 M127 492419 1 258.0000 p26 r60 295 N p26->r60
11955.0000 M109 183680 2 2058.0000 p27 r73 265 N p27->p28->r73
11958.0000 M116 206182 2 1440.0000 p56 r61 276 N p56->v80->r61
11984.0000 M108 489133 2 2168.0000 p1 r77 263 N p1->v87->r77
11987.0000 M88 428330 2 4063.0000 p5 r63 232 N p5->v91->r63
12046.0000 M129 243288 3 316.0000 p29 r76 294 N p29->v83->p12->r76
12050.0000 M118 456843 3 1308.0000 p20 r73 278 N p20->p52->v88->r73
12128.0000 M105 191418 3 2584.0000 p52 r69 256 N p52->v93->v94->r69
12154.0000 M120 461910 2 1246.0000 p45 r73 279 N p45->v94->r73
12236.0000 M123 331548 2 1039.0000 p38 r79 282 N p38->v94->r79
12292.0000 M111 470641 2 2235.0000 p14 r66 262 N p14->p36->r66
12619.0000 M126 230798 2 1152.0000 p16 r75 280 N p16->r61->r75
12713.0000 M94 356968 3 4219.0000 p1 r63 229 N p1->v83->v85->r63
12779.0000 M131 464742 2 819.0000 p48 r78 286 N p48->v90->r78
12780.0000 M121 148569 2 1775.0000 p25 r78 270 N p25->v90->r78
13117.0000 M139 457758 1 380.0000 p15 r74 293 N p15->r74
13219.0000 M115 467488 2 2813.0000 p57 r74 253 N p57->p25->r74
13346.0000 M125 202282 2 1978.0000 p54 r79 267 N p54->r74->r79
13347.0000 M144 421453 3 158.0000 p3 r64 297 N p3->r67->v84->r64
13433.0000 M128 472472 2 1788.0000 p33 r66 270 N p33->p28->r66
13448.0000 M142 483821 3 410.0000 p50 r68 293 N p50->p27->r70->r68
13527.0000 M132 254740 3 1490.0000 p29 r76 275 N p29->p42->v89->r76
13559.0000 M135 340830 2 1259.0000 p47 r74 279 N p47->v81->r74
13714.0000 M124 103884 3 2457.0000 p9 r71 259 N p9->v85->r63->r71
13837.0000 M36 174107 3 10606.0000 p23 r62 123 N p23->p34->r76->r62
13891.0000 M134 443205 3 1693.0000 p25 r60 271 N p25->p41->v82->r60
13905.0000 M149 449570 2 233.0000 p34 r61 296 N p34->v82->r61
13910.0000 M117 165479 3 3281.0000 p5 r62 245 N p5->v89->p9->r62
14053.0000 M137 198365 2 1544.0000 p27 r73 274 N p27->p42->r73
14095.0000 M150 486392 2 328.0000 p37 r79 294 N p37->v86->r79
14279.0000 M146 284970 2 895.0000 p23 r79 285 N p23->v92->r79
14311.0000 M140 176191 2 1456.0000 p27 r77 275 N p27->p37->r77
14369.0000 M151 291813 1 488.0000 p24 r78 291 N p24->r78
14395.0000 M130 416538 2 2555.0000 p33 r75 257 N p33->r79->r75
14475.0000 M113 122335 2 4281.0000 p24 r72 228 N p24->v85->r72
14714.0000 M155 132274 1 495.0000 p49 r63 291 N p49->r63
14815.0000 M145 139343 2 1545.0000 p33 r70 274 N p33->v93->r70
14823.0000 M152 258728 2 881.0000 p15 r71 285 N p15->v84->r71
14982.0000 M158 387649 2 420.0000 p38 r65 293 N p38->v86->r65
15086.0000 M138 238967 3 2468.0000 p57 r76 258 N p57->v93->p23->r76
15096.0000 M153 288133 2 1065.0000 p30 r75 282 N p30->v94->r75
15162.0000 M148 205710 3 1585.0000 p33 r73 273 N p33->v88->p53->r73
15234.0000 M157 248856 2 782.0000 p27 r76 286 N p27->v90->r76
15545.0000 M154 184282 1 1413.0000 p23 r71 276 N p23->r71
15546.0000 M141 241699 3 2577.0000 p57 r71 257 N p57->v93->p23->r71
15594.0000 M147 410449 3 2102.0000 p58 r64 264 N p58->p11->r69->r64
15622.0000 M159 162649 2 972.0000 p11 r66 283 N p11->v89->r66
15669.0000 M161 165098 1 841.0000 p9 r72 285 N p9->r72
15680.0000 M136 223025 3 3282.0000 p34 r64 245 N p34->p58->v94->r64
15741.0000 M162 143594 3 813.0000 p3 r68 286 N p3->v88->p6->r68
15755.0000 M160 408274 2 991.0000 p35 r74 283 N p35->v84->r74
15772.0000 M170 434975 2 78.0000 p59 r65 298 N p59->v84->r65
16141.0000 M167 184085 3 742.0000 p54 r63 287 N p54->p57->v83->r63
16251.0000 M169 189688 3 667.0000 p40 r61 288 N p40->p38->v82->r61
16373.0000 M172 488762 2 537.0000 p0 r71 291 N p0->v92->r71
16419.0000 M163 469435 2 1415.0000 p12 r67 276 N p12->v81->r67
16479.0000 M165 230375 2 1300.0000 p51 r64 278 N p51->v94->r64
16485.0000 M156 269862 2 2150.0000 p56 r68 264 N p56->v88->r68
16557.0000 M168 124998 2 1086.0000 p8 r65 281 N p8->p10->r65
16624.0000 M143 369133 2 3524.0000 p34 r75 241 N p34->r65->r75
16666.0000 M174 435099 2 613.0000 p21 r60 289 N p21->p28->r60
17030.0000 M183 331093 3 216.0000 p8 r70 296 N p8->p4->v90->r70
17032.0000 M182 455200 2 323.0000 p4 r70 294 N p4->v90->r70
17034.0000 M184 301104 2 150.0000 p4 r70 297 N p4->v90->r70
17357.0000 M186 130929 2 295.0000 p16 r70 295 N p16->v84->r70
17372.0000 M181 237404 1 765.0000 p22 r62 287 N p22->r62
17448.0000 M178 289236 2 1087.0000 p38 r73 281 N p38->p47->r73
17524.0000 M180 335670 2 978.0000 p2 r67 283 N p2->v83->r67
17722.0000 M173 441106 1 1779.0000 p17 r61 270 N p17->r61
17822.0000 M185 207741 3 844.0000 p29 r70 285 N p29->p50->r68->r70
