# time  ID  size  fromHost  toHost  TTL  isResponse
44.0000 HM1 144841 p21 r66 300 N 
89.0000 HM2 349403 p53 r67 300 N 
142.0000 HM3 309675 p57 r75 300 N 
201.0000 HM4 158799 p25 r61 300 N 
232.0000 HM5 134611 p14 r67 300 N 
266.0000 HM6 420844 p15 r61 300 N 
321.0000 HM7 132990 p15 r75 300 N 
380.0000 HM8 188404 p1 r67 300 N 
417.0000 HM9 411603 p34 r60 300 N 
456.0000 HM10 290273 p17 r74 300 N 
512.0000 HM11 238913 p37 r79 300 N 
555.0000 HM12 196112 p46 r66 300 N 
593.0000 HM13 276041 p17 r64 300 N 
648.0000 HM14 405435 p1 r73 300 N 
685.0000 HM15 181071 p34 r69 300 N 
727.0000 HM16 200456 p9 r60 300 N 
776.0000 HM17 201027 p37 r78 300 N 
823.0000 HM18 204873 p18 r62 300 N 
855.0000 HM19 140398 p51 r65 300 N 
885.0000 HM20 104870 p31 r67 300 N 
941.0000 HM21 451644 p40 r64 300 N 
994.0000 HM22 459935 p21 r71 300 N 
1049.0000 HM23 214313 p24 r79 300 N 
1095.0000 HM24 113438 p52 r74 300 N 
1150.0000 HM25 262550 p34 r78 300 N 
1190.0000 HM26 225834 p12 r69 300 N 
1234.0000 HM27 481973 p6 r70 300 N 
1288.0000 HM28 358803 p33 r67 300 N 
1321.0000 HM29 180437 p49 r61 300 N 
1360.0000 HM30 232834 p46 r73 300 N 
1393.0000 HM31 101950 p3 r72 300 N 
1437.0000 HM32 338883 p55 r60 300 N 
1497.0000 HM33 220232 p42 r65 300 N 
1531.0000 HM34 245826 p52 r60 300 N 
1572.0000 HM35 403530 p59 r64 300 N 
1614.0000 HM36 451981 p8 r74 300 N 
1672.0000 HM37 387677 p2 r78 300 N 
1708.0000 HM38 163591 p47 r74 300 N 
1753.0000 HM39 433973 p58 r72 300 N 
1791.0000 HM40 107364 p40 r78 300 N 
1821.0000 HM41 160254 p51 r68 300 N 
1874.0000 HM42 139880 p25 r68 300 N 
1905.0000 HM43 254741 p53 r61 300 N 
1943.0000 HM44 309597 p1 r69 300 N 
1988.0000 HM45 224554 p5 r67 300 N 
2033.0000 HM46 336908 p10 r70 300 N 
2066.0000 HM47 484144 p17 r77 300 N 
2126.0000 HM48 433561 p44 r62 300 N 
2179.0000 HM49 278903 p18 r66 300 N 
2238.0000 HM50 481860 p5 r63 300 N 
2270.0000 HM51 331138 p55 r66 300 N 
2322.0000 HM52 260522 p18 r66 300 N 
2361.0000 HM53 168101 p55 r72 300 N 
2407.0000 HM54 429478 p15 r73 300 N 
2465.0000 HM55 118608 p41 r65 300 N 
