# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
672.0000 HM3 309675 3 530.0000 p57 r75 291 N p57->p29->v81->r75
742.0000 HM16 200456 2 15.0000 p9 r60 299 N p9->p16->r60
744.0000 HM1 144841 2 700.0000 p21 r66 288 N p21->v80->r66
1388.0000 HM27 481973 2 154.0000 p6 r70 297 N p6->p40->r70
1436.0000 HM21 451644 2 495.0000 p40 r64 291 N p40->v89->r64
1537.0000 HM15 181071 2 852.0000 p34 r69 285 N p34->v85->r69
1580.0000 HM9 411603 2 1163.0000 p34 r60 280 N p34->r67->r60
1587.0000 HM2 349403 3 1498.0000 p53 r67 275 N p53->v92->r78->r67
1703.0000 HM29 180437 2 382.0000 p49 r61 293 N p49->v90->r61
1760.0000 HM22 459935 1 766.0000 p21 r71 287 N p21->r71
1769.0000 HM8 188404 1 1389.0000 p1 r67 276 N p1->r67
1837.0000 HM34 245826 3 306.0000 p52 r60 294 N p52->p53->v81->r60
1855.0000 HM35 403530 2 283.0000 p59 r64 295 N p59->p35->r64
1904.0000 HM18 204873 2 1081.0000 p18 r62 281 N p18->p37->r62
1968.0000 HM7 132990 1 1647.0000 p15 r75 272 N p15->r75
1977.0000 HM40 107364 3 186.0000 p40 r78 296 N p40->p23->v88->r78
1995.0000 HM24 113438 3 900.0000 p52 r74 285 N p52->r77->v80->r74
2078.0000 HM13 276041 2 1485.0000 p17 r64 275 N p17->r63->r64
2102.0000 HM23 214313 1 1053.0000 p24 r79 282 N p24->r79
2174.0000 HM41 160254 2 353.0000 p51 r68 294 N p51->v83->r68
2358.0000 HM38 163591 2 650.0000 p47 r74 289 N p47->v87->r74
2361.0000 HM37 387677 3 689.0000 p2 r78 288 N p2->v89->r79->r78
2380.0000 HM5 134611 2 2148.0000 p14 r67 264 N p14->v91->r67
2479.0000 HM11 238913 1 1967.0000 p37 r79 267 N p37->r79
2591.0000 HM51 331138 2 321.0000 p55 r66 294 N p55->v87->r66
2870.0000 HM25 262550 2 1720.0000 p34 r78 271 N p34->p29->r78
2884.0000 HM57 453848 2 329.0000 p37 r71 294 N p37->v86->r71
3040.0000 HM60 153077 2 352.0000 p5 r67 294 N p5->v94->r67
3045.0000 HM44 309597 2 1102.0000 p1 r69 281 N p1->p30->r69
3082.0000 HM46 336908 1 1049.0000 p10 r70 282 N p10->r70
3087.0000 HM10 290273 2 2631.0000 p17 r74 256 N p17->r66->r74
3105.0000 HM54 429478 2 698.0000 p15 r73 288 N p15->r66->r73
3113.0000 HM39 433973 2 1360.0000 p58 r72 277 N p58->v89->r72
3121.0000 HM20 104870 2 2236.0000 p31 r67 262 N p31->r62->r67
3169.0000 HM45 224554 1 1181.0000 p5 r67 280 N p5->r67
3290.0000 HM50 481860 2 1052.0000 p5 r63 282 N p5->v89->r63
3305.0000 HM68 306866 3 267.0000 p19 r69 295 N p19->v86->p13->r69
3515.0000 HM69 102691 2 436.0000 p50 r64 292 N p50->v90->r64
3518.0000 HM43 254741 2 1613.0000 p53 r61 273 N p53->v83->r61
3565.0000 HM28 358803 1 2277.0000 p33 r67 262 N p33->r67
3600.0000 HM75 181368 2 235.0000 p49 r78 296 N p49->p6->r78
3603.0000 HM55 118608 2 1138.0000 p41 r65 281 N p41->v87->r65
3619.0000 HM4 158799 2 3418.0000 p25 r61 243 N p25->v87->r61
3671.0000 HM74 320600 2 358.0000 p53 r61 294 N p53->r65->r61
3845.0000 HM78 176432 2 333.0000 p24 r61 294 N p24->v89->r61
3863.0000 HM80 429270 3 279.0000 p29 r75 295 N p29->p1->v88->r75
3896.0000 HM32 338883 2 2459.0000 p55 r60 259 N p55->v93->r60
3918.0000 HM48 433561 3 1792.0000 p44 r62 270 N p44->p14->r60->r62
4064.0000 HM12 196112 2 3509.0000 p46 r66 241 N p46->v84->r66
4093.0000 HM53 168101 3 1732.0000 p55 r72 271 N p55->r78->v84->r72
4099.0000 HM90 290162 3 41.0000 p32 r76 299 N p32->r64->v84->r76
4123.0000 HM62 447462 2 1347.0000 p22 r64 277 N p22->p57->r64
4132.0000 HM89 223736 3 130.0000 p7 r70 297 N p7->p1->v92->r70
4163.0000 HM72 202253 3 924.0000 p32 r69 284 N p32->p36->v86->r69
4176.0000 HM33 220232 2 2679.0000 p42 r65 255 N p42->p2->r65
4185.0000 HM63 113829 1 1370.0000 p51 r69 277 N p51->r69
4198.0000 HM71 259973 2 1017.0000 p18 r62 283 N p18->v92->r62
4396.0000 HM81 476406 2 768.0000 p25 r79 287 N p25->v87->r79
4455.0000 HM70 498736 1 1327.0000 p41 r68 277 N p41->r68
4460.0000 HM56 262068 2 1957.0000 p44 r65 267 N p44->r60->r65
4500.0000 HM65 457855 2 1609.0000 p10 r71 273 N p10->v81->r71
4504.0000 HM17 201027 1 3728.0000 p37 r78 237 N p37->r78
4531.0000 HM98 154466 3 107.0000 p24 r65 298 N p24->p35->v87->r65
4608.0000 HM42 139880 2 2734.0000 p25 r68 254 N p25->v81->r68
4623.0000 HM59 332124 2 1995.0000 p38 r75 266 N p38->v90->r75
4660.0000 HM99 355131 1 190.0000 p51 r74 296 N p51->r74
4727.0000 HM104 278608 2 12.0000 p36 r61 299 N p36->p35->r61
4745.0000 HM64 234443 3 1897.0000 p19 r71 268 N p19->v80->r67->r71
4857.0000 HM77 249931 2 1389.0000 p37 r60 276 N p37->p29->r60
4865.0000 HM97 175307 2 475.0000 p13 r64 292 N p13->v82->r64
4931.0000 HM100 397893 1 406.0000 p41 r64 293 N p41->r64
4933.0000 HM79 444715 3 1380.0000 p10 r77 277 N p10->r60->v80->r77
5154.0000 HM105 145142 3 382.0000 p1 r78 293 N p1->v83->v94->r78
5202.0000 HM87 286407 2 1278.0000 p21 r74 278 N p21->v92->r74
5281.0000 HM96 198215 2 922.0000 p29 r72 284 N p29->p2->r72
5466.0000 HM84 141407 2 1680.0000 p52 r67 272 N p52->v90->r67
5477.0000 HM120 147424 2 23.0000 p49 r71 299 N p49->v85->r71
5522.0000 HM73 354985 3 2240.0000 p57 r71 262 N p57->p50->r66->r71
5528.0000 HM49 278903 2 3349.0000 p18 r66 244 N p18->r76->r66
5543.0000 HM94 485855 2 1297.0000 p35 r75 278 N p35->v93->r75
5568.0000 HM114 463451 3 416.0000 p57 r70 293 N p57->v87->r77->r70
5665.0000 HM112 327288 2 605.0000 p56 r69 289 N p56->p48->r69
5699.0000 HM118 408463 2 328.0000 p2 r72 294 N p2->v82->r72
5741.0000 HM102 370815 2 1133.0000 p19 r69 281 N p19->p42->r69
5750.0000 HM67 300291 2 2766.0000 p28 r67 253 N p28->v91->r67
5795.0000 HM95 171512 1 1489.0000 p39 r73 275 N p39->r73
5884.0000 HM115 347235 2 682.0000 p35 r72 288 N p35->v93->r72
5914.0000 HM117 366708 2 600.0000 p47 r72 290 N p47->v85->r72
5972.0000 HM121 184228 1 469.0000 p46 r72 292 N p46->r72
5997.0000 HM110 436765 2 1013.0000 p19 r62 283 N p19->r75->r62
6044.0000 HM93 329818 2 1843.0000 p7 r69 269 N p7->r74->r69
6063.0000 HM127 211566 3 292.0000 p14 r60 295 N p14->p55->v86->r60
6139.0000 HM83 310200 2 2409.0000 p11 r70 259 N p11->v91->r70
6139.0000 HM123 303886 1 540.0000 p50 r67 291 N p50->r67
6165.0000 HM31 101950 2 4772.0000 p3 r72 220 N p3->r75->r72
6198.0000 HM124 342907 2 569.0000 p54 r61 290 N p54->v91->r61
6292.0000 HM116 465165 3 1034.0000 p59 r66 282 N p59->p13->v85->r66
6297.0000 HM36 451981 2 4683.0000 p8 r74 221 N p8->p54->r74
6307.0000 HM108 477660 3 1399.0000 p7 r74 276 N p7->p55->p54->r74
6313.0000 HM103 112234 3 1652.0000 p37 r73 272 N p37->p26->v80->r73
6352.0000 HM111 382298 2 1324.0000 p40 r65 277 N p40->p18->r65
6432.0000 HM135 360885 2 283.0000 p13 r67 295 N p13->p30->r67
6451.0000 HM132 386066 2 433.0000 p34 r76 292 N p34->v86->r76
6506.0000 HM19 140398 1 5651.0000 p51 r65 205 N p51->r65
6552.0000 HM107 246277 2 1698.0000 p4 r64 271 N p4->p36->r64
6606.0000 HM125 321313 2 922.0000 p0 r78 284 N p0->v88->r78
6660.0000 HM106 359043 3 1853.0000 p43 r68 269 N p43->p11->v88->r68
6665.0000 HM142 202193 3 147.0000 p54 r69 297 N p54->p7->r60->r69
