# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
564.0000 HM11 238913 2 52.0000 p37 r79 299 N p37->r73->r79
635.0000 HM1 144841 3 591.0000 p21 r66 290 N p21->p16->v82->r66
639.0000 HM8 188404 1 259.0000 p1 r67 295 N p1->r67
677.0000 HM2 349403 2 588.0000 p53 r67 290 N p53->v88->r67
877.0000 HM4 158799 1 676.0000 p25 r61 288 N p25->r61
1227.0000 HM6 420844 3 961.0000 p15 r61 283 N p15->p40->v88->r61
1376.0000 HM23 214313 2 327.0000 p24 r79 294 N p24->v85->r79
1398.0000 HM5 134611 2 1166.0000 p14 r67 280 N p14->v85->r67
1401.0000 HM20 104870 2 516.0000 p31 r67 291 N p31->v85->r67
1486.0000 HM27 481973 1 252.0000 p6 r70 295 N p6->r70
1490.0000 HM25 262550 2 340.0000 p34 r78 294 N p34->v88->r78
1890.0000 HM22 459935 3 896.0000 p21 r71 285 N p21->p30->p10->r71
1934.0000 HM35 403530 2 362.0000 p59 r64 293 N p59->v84->r64
1939.0000 HM12 196112 3 1384.0000 p46 r66 276 N p46->r78->v85->r66
2019.0000 HM10 290273 2 1563.0000 p17 r74 273 N p17->v91->r74
2032.0000 HM33 220232 1 535.0000 p42 r65 291 N p42->r65
2089.0000 HM19 140398 2 1234.0000 p51 r65 279 N p51->v92->r65
2135.0000 HM18 204873 3 1312.0000 p18 r62 278 N p18->p32->v81->r62
2222.0000 HM21 451644 3 1281.0000 p40 r64 278 N p40->v91->r75->r64
2242.0000 HM26 225834 3 1052.0000 p12 r69 282 N p12->r61->v94->r69
2313.0000 HM15 181071 1 1628.0000 p34 r69 272 N p34->r69
2353.0000 HM30 232834 2 993.0000 p46 r73 283 N p46->p39->r73
2369.0000 HM43 254741 2 464.0000 p53 r61 292 N p53->v91->r61
2373.0000 HM29 180437 2 1052.0000 p49 r61 282 N p49->v91->r61
2401.0000 HM52 260522 2 79.0000 p18 r66 298 N p18->v93->r66
2473.0000 HM17 201027 2 1697.0000 p37 r78 271 N p37->r73->r78
2629.0000 HM28 358803 1 1341.0000 p33 r67 277 N p33->r67
2708.0000 HM36 451981 1 1094.0000 p8 r74 281 N p8->r74
