# time  ID  size  fromHost  toHost  TTL  isResponse
87.0000 M1 218834 p54 r78 300 N 
158.0000 M2 177273 p1 r70 300 N 
229.0000 M3 168122 p53 r71 300 N 
292.0000 M4 423257 p49 r71 300 N 
389.0000 M5 474671 p54 r61 300 N 
450.0000 M6 361032 p23 r75 300 N 
558.0000 M7 212010 p21 r63 300 N 
673.0000 M8 413877 p27 r73 300 N 
740.0000 M9 187686 p21 r73 300 N 
811.0000 M10 463541 p40 r73 300 N 
885.0000 M11 462047 p20 r73 300 N 
965.0000 M12 145086 p27 r67 300 N 
1044.0000 M13 393107 p11 r68 300 N 
1115.0000 M14 120934 p51 r71 300 N 
1226.0000 M15 291397 p52 r71 300 N 
1334.0000 M16 175016 p25 r69 300 N 
1443.0000 M17 390517 p2 r73 300 N 
1543.0000 M18 440222 p50 r75 300 N 
1642.0000 M19 280040 p23 r76 300 N 
1732.0000 M20 473543 p20 r71 300 N 
1794.0000 M21 419301 p45 r73 300 N 
1890.0000 M22 154050 p12 r73 300 N 
1994.0000 M23 155510 p0 r74 300 N 
2098.0000 M24 259729 p22 r66 300 N 
2175.0000 M25 482211 p49 r66 300 N 
2237.0000 M26 446679 p43 r60 300 N 
2350.0000 M27 407738 p14 r77 300 N 
2428.0000 M28 427290 p53 r79 300 N 
2497.0000 M29 339593 p10 r65 300 N 
2601.0000 M30 378625 p54 r63 300 N 
2668.0000 M31 148641 p29 r65 300 N 
2745.0000 M32 331670 p12 r78 300 N 
2861.0000 M33 429461 p34 r75 300 N 
2957.0000 M34 144772 p50 r76 300 N 
3030.0000 M35 498232 p51 r71 300 N 
3090.0000 M36 412761 p14 r71 300 N 
3187.0000 M37 237538 p52 r76 300 N 
3301.0000 M38 198725 p36 r70 300 N 
3419.0000 M39 383915 p12 r68 300 N 
3524.0000 M40 372441 p41 r64 300 N 
3601.0000 M41 138158 p6 r61 300 N 
3709.0000 M42 289225 p48 r76 300 N 
3806.0000 M43 496711 p12 r79 300 N 
3913.0000 M44 268074 p6 r67 300 N 
3990.0000 M45 106581 p27 r70 300 N 
4078.0000 M46 336051 p7 r79 300 N 
4186.0000 M47 134776 p20 r62 300 N 
4287.0000 M48 484863 p47 r68 300 N 
4400.0000 M49 155987 p20 r79 300 N 
4488.0000 M50 176458 p13 r66 300 N 
4553.0000 M51 397770 p20 r73 300 N 
4650.0000 M52 191919 p14 r76 300 N 
4711.0000 M53 383685 p17 r66 300 N 
4807.0000 M54 353264 p7 r69 300 N 
4921.0000 M55 328171 p37 r60 300 N 
4987.0000 M56 182957 p42 r78 300 N 
5082.0000 M57 101479 p48 r66 300 N 
5179.0000 M58 237610 p37 r76 300 N 
5274.0000 M59 462758 p44 r60 300 N 
5351.0000 M60 299278 p59 r69 300 N 
5421.0000 M61 374679 p0 r69 300 N 
5492.0000 M62 264734 p44 r68 300 N 
5606.0000 M63 270569 p8 r70 300 N 
5688.0000 M64 146950 p12 r62 300 N 
5772.0000 M65 190287 p34 r62 300 N 
5848.0000 M66 128271 p4 r77 300 N 
5962.0000 M67 235199 p50 r69 300 N 
6032.0000 M68 160233 p2 r62 300 N 
6139.0000 M69 349614 p59 r63 300 N 
6208.0000 M70 275299 p37 r64 300 N 
6272.0000 M71 290133 p48 r64 300 N 
6362.0000 M72 366893 p43 r73 300 N 
6428.0000 M73 167791 p55 r70 300 N 
6519.0000 M74 325916 p17 r61 300 N 
6614.0000 M75 416248 p0 r60 300 N 
6732.0000 M76 165606 p26 r67 300 N 
6849.0000 M77 380783 p43 r71 300 N 
6919.0000 M78 257377 p59 r65 300 N 
7038.0000 M79 379028 p45 r77 300 N 
7148.0000 M80 431176 p40 r62 300 N 
7236.0000 M81 487978 p18 r63 300 N 
7323.0000 M82 111477 p45 r65 300 N 
7435.0000 M83 323765 p2 r76 300 N 
7498.0000 M84 177575 p10 r64 300 N 
7585.0000 M85 450749 p46 r66 300 N 
7671.0000 M86 185022 p27 r71 300 N 
7754.0000 M87 170121 p3 r69 300 N 
7859.0000 M88 407417 p19 r60 300 N 
7934.0000 M89 302436 p28 r69 300 N 
8034.0000 M90 338494 p36 r67 300 N 
8119.0000 M91 123996 p58 r66 300 N 
8214.0000 M92 137938 p17 r69 300 N 
8323.0000 M93 219389 p58 r63 300 N 
8404.0000 M94 393756 p26 r67 300 N 
8488.0000 M95 295577 p15 r62 300 N 
8593.0000 M96 166374 p16 r65 300 N 
8695.0000 M97 226435 p43 r60 300 N 
8809.0000 M98 171931 p54 r61 300 N 
8926.0000 M99 399694 p42 r78 300 N 
9014.0000 M100 346890 p0 r67 300 N 
9078.0000 M101 446482 p27 r72 300 N 
9157.0000 M102 346401 p47 r63 300 N 
9249.0000 M103 498087 p32 r66 300 N 
9334.0000 M104 163634 p38 r76 300 N 
9396.0000 M105 147816 p1 r75 300 N 
9496.0000 M106 112689 p10 r61 300 N 
9600.0000 M107 490865 p49 r75 300 N 
9687.0000 M108 164851 p35 r65 300 N 
9782.0000 M109 385889 p27 r79 300 N 
9862.0000 M110 141039 p32 r77 300 N 
9950.0000 M111 287512 p46 r65 300 N 
10042.0000 M112 417153 p38 r62 300 N 
10147.0000 M113 482169 p53 r62 300 N 
