# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
523.0000 M5 474671 3 134.0000 p54 r61 297 N p54->v84->p47->r61
531.0000 M1 218834 2 444.0000 p54 r78 292 N p54->v85->r78
800.0000 M2 177273 3 642.0000 p1 r70 289 N p1->v83->v93->r70
891.0000 M9 187686 3 151.0000 p21 r73 297 N p21->v80->v93->r73
986.0000 M7 212010 2 428.0000 p21 r63 292 N p21->v80->r63
1093.0000 M10 463541 3 282.0000 p40 r73 295 N p40->v87->v94->r73
1214.0000 M6 361032 3 764.0000 p23 r75 287 N p23->p13->v83->r75
1647.0000 M14 120934 2 532.0000 p51 r71 291 N p51->v94->r71
1807.0000 M16 175016 2 473.0000 p25 r69 292 N p25->v80->r69
1908.0000 M13 393107 2 864.0000 p11 r68 285 N p11->v80->r68
2036.0000 M12 145086 2 1071.0000 p27 r67 282 N p27->v88->r67
2113.0000 M24 259729 3 15.0000 p22 r66 299 N p22->r64->p52->r66
2505.0000 M15 291397 2 1279.0000 p52 r71 278 N p52->v85->r71
2820.0000 M18 440222 3 1277.0000 p50 r75 278 N p50->p1->v81->r75
3433.0000 M28 427290 2 1005.0000 p53 r79 283 N p53->p4->r79
3529.0000 M38 198725 2 228.0000 p36 r70 296 N p36->v87->r70
3541.0000 M11 462047 2 2656.0000 p20 r73 255 N p20->v80->r73
3543.0000 M17 390517 3 2100.0000 p2 r73 265 N p2->p47->v80->r73
3545.0000 M21 419301 2 1751.0000 p45 r73 270 N p45->v80->r73
3646.0000 M27 407738 2 1296.0000 p14 r77 278 N p14->v91->r77
3681.0000 M20 473543 3 1949.0000 p20 r71 267 N p20->p9->r61->r71
3727.0000 M32 331670 3 982.0000 p12 r78 283 N p12->r60->v81->r78
3840.0000 M19 280040 2 2198.0000 p23 r76 263 N p23->v94->r76
3904.0000 M3 168122 2 3675.0000 p53 r71 238 N p53->r63->r71
3931.0000 M34 144772 2 974.0000 p50 r76 283 N p50->v83->r76
3941.0000 M4 423257 3 3649.0000 p49 r71 239 N p49->p3->v93->r71
4112.0000 M40 372441 3 588.0000 p41 r64 290 N p41->r76->v93->r64
4151.0000 M33 429461 3 1290.0000 p34 r75 278 N p34->p5->r64->r75
4211.0000 M35 498232 3 1181.0000 p51 r71 280 N p51->p10->v82->r71
4337.0000 M25 482211 2 2162.0000 p49 r66 263 N p49->v87->r66
4480.0000 M30 378625 1 1879.0000 p54 r63 268 N p54->r63
4517.0000 M39 383915 2 1098.0000 p12 r68 281 N p12->r61->r68
4728.0000 M36 412761 3 1638.0000 p14 r71 272 N p14->p11->r77->r71
4846.0000 M52 191919 2 196.0000 p14 r76 296 N p14->v85->r76
5002.0000 M47 134776 3 816.0000 p20 r62 286 N p20->r69->v89->r62
5133.0000 M51 397770 1 580.0000 p20 r73 290 N p20->r73
5239.0000 M56 182957 2 252.0000 p42 r78 295 N p42->v85->r78
5280.0000 M31 148641 2 2612.0000 p29 r65 256 N p29->p27->r65
5328.0000 M37 237538 3 2141.0000 p52 r76 264 N p52->r60->v80->r76
5378.0000 M41 138158 3 1777.0000 p6 r61 270 N p6->p49->p54->r61
5656.0000 M29 339593 2 3159.0000 p10 r65 247 N p10->p17->r65
5772.0000 M53 383685 3 1061.0000 p17 r66 282 N p17->v84->p4->r66
5928.0000 M50 176458 2 1440.0000 p13 r66 276 N p13->v94->r66
6098.0000 M58 237610 2 919.0000 p37 r76 284 N p37->v88->r76
6107.0000 M8 413877 2 5434.0000 p27 r73 209 N p27->v88->r73
6282.0000 M26 446679 2 4045.0000 p43 r60 232 N p43->p51->r60
6301.0000 M68 160233 2 269.0000 p2 r62 295 N p2->v87->r62
6437.0000 M70 275299 2 229.0000 p37 r64 296 N p37->v92->r64
6478.0000 M61 374679 2 1057.0000 p0 r69 282 N p0->v90->r69
6480.0000 M60 299278 2 1129.0000 p59 r69 281 N p59->v90->r69
6482.0000 M54 353264 1 1675.0000 p7 r69 272 N p7->r69
6573.0000 M67 235199 2 611.0000 p50 r69 289 N p50->p18->r69
6630.0000 M49 155987 3 2230.0000 p20 r79 262 N p20->p5->v85->r79
6686.0000 M44 268074 2 2773.0000 p6 r67 253 N p6->v92->r67
6760.0000 M48 484863 2 2473.0000 p47 r68 258 N p47->v82->r68
7103.0000 M45 106581 1 3113.0000 p27 r70 248 N p27->r70
7141.0000 M42 289225 2 3432.0000 p48 r76 242 N p48->p15->r76
7179.0000 M64 146950 2 1491.0000 p12 r62 275 N p12->v83->r62
7216.0000 M59 462758 2 1942.0000 p44 r60 267 N p44->r74->r60
7347.0000 M63 270569 3 1741.0000 p8 r70 270 N p8->p20->v91->r70
7573.0000 M66 128271 3 1725.0000 p4 r77 271 N p4->v80->v88->r77
7573.0000 M23 155510 2 5579.0000 p0 r74 207 N p0->p4->r74
7580.0000 M79 379028 2 542.0000 p45 r77 290 N p45->v81->r77
